doc_id,word,gdocs,python,fourth,present
000001_Algebra,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000001_Algebra.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000001_Algebra.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000001_Algebra.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000001_Algebra.pdf,4
000002_Quantum_mechanics,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000002_Quantum_mechanics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000002_Quantum_mechanics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000002_Quantum_mechanics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000002_Quantum_mechanics.pdf,4
000003_Machine_learning,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000003_Machine_learning.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000003_Machine_learning.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000003_Machine_learning.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000003_Machine_learning.pdf,4
000004_World_War_II,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000004_World_War_II.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000004_World_War_II.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000004_World_War_II.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000004_World_War_II.pdf,4
000005_Renaissance,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000005_Renaissance.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000005_Renaissance.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000005_Renaissance.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000005_Renaissance.pdf,4
000006_Photosynthesis,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000006_Photosynthesis.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000006_Photosynthesis.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000006_Photosynthesis.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000006_Photosynthesis.pdf,4
000007_Blockchain,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000007_Blockchain.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000007_Blockchain.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000007_Blockchain.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000007_Blockchain.pdf,4
000008_Psychology,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000008_Psychology.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000008_Psychology.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000008_Psychology.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000008_Psychology.pdf,4
000009_Sociology,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000009_Sociology.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000009_Sociology.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000009_Sociology.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000009_Sociology.pdf,4
000010_Economics,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000010_Economics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000010_Economics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000010_Economics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000010_Economics.pdf,4
000011_Virtual_reality,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000011_Virtual_reality.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000011_Virtual_reality.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000011_Virtual_reality.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000011_Virtual_reality.pdf,4
000012_United_States,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000012_United_States.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000012_United_States.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000012_United_States.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000012_United_States.pdf,4
000013_United_Nations,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000013_United_Nations.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000013_United_Nations.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000013_United_Nations.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000013_United_Nations.pdf,4
000014_Urbanization,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000014_Urbanization.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000014_Urbanization.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000014_Urbanization.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000014_Urbanization.pdf,4
000015_Veganism,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000015_Veganism.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000015_Veganism.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000015_Veganism.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000015_Veganism.pdf,4
000016_Volcano,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000016_Volcano.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000016_Volcano.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000016_Volcano.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000016_Volcano.pdf,4
000017_Weather,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000017_Weather.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000017_Weather.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000017_Weather.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000017_Weather.pdf,4
000018_Statistics,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000018_Statistics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000018_Statistics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000018_Statistics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000018_Statistics.pdf,4
000019_Weather,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000019_Weather.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000019_Weather.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000019_Weather.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000019_Weather.pdf,4
000020_Renaissance,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000020_Renaissance.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000020_Renaissance.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000020_Renaissance.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000020_Renaissance.pdf,4
000021_Photosynthesis,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000021_Photosynthesis.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000021_Photosynthesis.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000021_Photosynthesis.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000021_Photosynthesis.pdf,4
000022_Sociology,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000022_Sociology.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000022_Sociology.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000022_Sociology.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000022_Sociology.pdf,4
000023_Economics,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000023_Economics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000023_Economics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000023_Economics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000023_Economics.pdf,4
000024_World_War_II,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000024_World_War_II.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000024_World_War_II.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000024_World_War_II.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000024_World_War_II.pdf,4
000025_United_States,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000025_United_States.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000025_United_States.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000025_United_States.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000025_United_States.pdf,4
000026_Psychology,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000026_Psychology.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000026_Psychology.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000026_Psychology.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000026_Psychology.pdf,4
000027_Urbanization,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000027_Urbanization.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000027_Urbanization.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000027_Urbanization.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000027_Urbanization.pdf,4
000028_Machine_learning,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000028_Machine_learning.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000028_Machine_learning.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000028_Machine_learning.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000028_Machine_learning.pdf,4
000029_Statistics,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000029_Statistics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000029_Statistics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000029_Statistics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000029_Statistics.pdf,4
000030_United_Nations,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000030_United_Nations.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000030_United_Nations.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000030_United_Nations.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000030_United_Nations.pdf,4
000031_Volcano,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000031_Volcano.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000031_Volcano.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000031_Volcano.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000031_Volcano.pdf,4
000032_Quantum_mechanics,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000032_Quantum_mechanics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000032_Quantum_mechanics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000032_Quantum_mechanics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000032_Quantum_mechanics.pdf,4
000033_Algebra,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000033_Algebra.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000033_Algebra.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000033_Algebra.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000033_Algebra.pdf,4
000034_Blockchain,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000034_Blockchain.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000034_Blockchain.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000034_Blockchain.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000034_Blockchain.pdf,4
000035_Veganism,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000035_Veganism.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000035_Veganism.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000035_Veganism.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000035_Veganism.pdf,4
000036_Virtual_reality,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000036_Virtual_reality.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000036_Virtual_reality.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000036_Virtual_reality.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000036_Virtual_reality.pdf,4
000037_Economics,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000037_Economics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000037_Economics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000037_Economics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000037_Economics.pdf,4
000038_Economics,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000038_Economics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000038_Economics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000038_Economics.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000038_Economics.pdf,4
000039_Weather,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000039_Weather.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000039_Weather.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000039_Weather.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000039_Weather.pdf,4
000040_Renaissance,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000040_Renaissance.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000040_Renaissance.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000040_Renaissance.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000040_Renaissance.pdf,4
000041_United_States,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000041_United_States.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000041_United_States.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000041_United_States.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000041_United_States.pdf,4
000042_Blockchain,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000042_Blockchain.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000042_Blockchain.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000042_Blockchain.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000042_Blockchain.pdf,4
000043_Virtual_reality,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000043_Virtual_reality.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000043_Virtual_reality.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000043_Virtual_reality.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000043_Virtual_reality.pdf,4
000044_Sociology,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000044_Sociology.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000044_Sociology.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000044_Sociology.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000044_Sociology.pdf,4
000045_United_Nations,/content/ForensicsDetective/Assignment2_raghulch/data/word_pdfs/000045_United_Nations.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/google_docs_pdfs/000045_United_Nations.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/python_pdfs/000045_United_Nations.pdf,/content/ForensicsDetective/Assignment2_raghulch/data/fourth_source_pdfs/000045_United_Nations.pdf,4
