id,title,pages_target,has_images,has_tables,has_equations
1,Algebra,1,False,True,0
2,Quantum mechanics,1,False,False,0
3,Machine learning,6,True,False,0
4,World War II,4,True,True,0
5,Renaissance,2,False,False,0
6,Photosynthesis,2,False,False,1
7,Blockchain,2,True,False,1
8,Psychology,2,True,False,1
9,Sociology,3,False,True,0
10,Economics,2,False,True,0
11,Virtual reality,3,True,False,1
12,United States,5,True,False,0
13,United Nations,1,True,True,1
14,Urbanization,3,True,False,1
15,Veganism,3,False,False,0
16,Volcano,4,True,False,0
17,Weather,1,True,True,0
18,Statistics,1,True,True,0
19,Weather,2,False,False,0
20,Renaissance,2,True,False,0
21,Photosynthesis,3,False,True,0
22,Sociology,1,False,False,0
23,Economics,2,True,False,1
24,World War II,3,False,False,1
25,United States,2,True,False,1
26,Psychology,4,True,False,1
27,Urbanization,2,True,False,0
28,Machine learning,2,False,False,0
29,Statistics,1,False,False,0
30,United Nations,3,False,False,1
31,Volcano,3,False,False,0
32,Quantum mechanics,4,False,False,0
33,Algebra,3,False,False,0
34,Blockchain,5,False,True,0
35,Veganism,5,True,False,0
36,Virtual reality,3,False,False,0
37,Economics,1,True,False,1
38,Economics,1,True,False,1
39,Weather,1,False,True,0
40,Renaissance,1,False,False,0
41,United States,3,False,False,1
42,Blockchain,2,False,False,1
43,Virtual reality,1,False,False,1
44,Sociology,1,False,False,1
45,United Nations,4,False,True,0
46,United States,3,False,False,0
47,Virtual reality,2,False,False,0
48,Algebra,1,False,True,1
49,Volcano,2,True,False,1
50,Urbanization,3,True,False,0
51,Algebra,3,True,True,0
52,Machine learning,2,False,False,1
53,Renaissance,2,True,True,0
54,Urbanization,2,False,False,1
55,Blockchain,5,True,False,0
56,Psychology,5,True,False,0
57,Quantum mechanics,4,True,False,0
58,Psychology,4,True,False,0
59,World War II,3,True,False,0
60,Veganism,1,False,True,1
61,Weather,2,True,False,0
62,Veganism,1,False,False,0
63,United Nations,4,False,False,0
64,Statistics,1,False,False,1
65,Statistics,6,False,True,0
66,Photosynthesis,2,True,False,0
67,Machine learning,4,False,True,1
68,Volcano,2,False,False,0
69,Quantum mechanics,2,True,False,0
70,Sociology,4,False,True,1
71,World War II,4,False,False,0
72,Photosynthesis,2,False,True,0
73,Statistics,1,True,False,0
74,Urbanization,3,True,False,0
75,Blockchain,2,True,True,0
76,Sociology,2,True,True,0
77,Machine learning,3,False,False,0
78,Psychology,4,True,True,0
79,Quantum mechanics,2,False,True,0
80,Psychology,1,False,False,0
81,United Nations,5,False,True,0
82,Blockchain,4,True,True,0
83,Veganism,1,True,True,0
84,Virtual reality,2,False,True,0
85,World War II,3,False,False,1
86,World War II,3,False,True,1
87,Sociology,1,False,False,0
88,Blockchain,1,True,False,0
89,Quantum mechanics,3,False,False,0
90,Statistics,1,False,False,0
91,Volcano,2,True,False,0
92,Economics,2,False,False,0
93,Virtual reality,2,True,False,0
94,United States,4,False,False,0
95,Economics,1,False,False,0
96,Statistics,4,False,False,0
97,Veganism,4,True,False,0
98,Machine learning,3,False,True,0
99,Photosynthesis,4,False,False,1
100,Sociology,3,False,True,0
101,Algebra,3,False,True,1
102,Quantum mechanics,1,False,False,0
103,Urbanization,1,False,False,1
104,United Nations,1,True,False,0
105,Renaissance,2,True,False,0
106,Economics,2,False,False,0
107,Volcano,2,False,True,1
108,Algebra,1,False,True,1
109,Photosynthesis,1,True,False,0
110,United States,1,False,False,0
111,Urbanization,5,False,False,0
112,Photosynthesis,2,False,False,0
113,Virtual reality,4,False,False,0
114,Statistics,2,True,False,0
115,World War II,2,True,True,0
116,Urbanization,1,True,True,1
117,World War II,3,True,False,0
118,Machine learning,1,True,False,0
119,Renaissance,2,True,False,0
120,Psychology,3,True,True,0
121,Machine learning,4,True,True,0
122,United Nations,3,False,False,1
123,Economics,4,True,True,1
124,United States,1,True,False,0
125,Virtual reality,4,False,True,0
126,Weather,2,True,False,0
127,Weather,1,False,False,0
128,Weather,2,True,True,0
129,Psychology,2,True,True,0
130,Veganism,3,True,False,1
131,Weather,3,False,True,0
132,Renaissance,3,False,False,0
133,Sociology,2,True,False,1
134,Volcano,2,False,True,1
135,Volcano,1,True,False,0
136,Algebra,5,True,True,0
137,United States,4,False,True,0
138,Veganism,2,False,False,0
139,Renaissance,2,True,True,0
140,Photosynthesis,2,False,True,1
141,United Nations,3,True,False,0
142,Blockchain,1,True,False,0
143,Quantum mechanics,5,False,False,1
144,Algebra,4,False,False,0
145,World War II,4,True,False,0
146,Renaissance,4,True,True,1
147,World War II,1,False,True,0
148,Weather,1,False,True,0
149,Machine learning,1,False,False,0
150,Renaissance,3,False,False,0
151,United States,3,True,False,0
152,Statistics,1,False,False,0
153,Veganism,4,True,False,0
154,Renaissance,5,True,False,0
155,Volcano,4,False,True,0
156,Blockchain,4,False,False,0
157,Sociology,1,True,False,0
158,Blockchain,2,False,False,0
159,Virtual reality,2,False,False,0
160,Urbanization,4,True,False,0
